timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 10:05:00 US/Eastern,HIMS_conservative,BUY,10,35.7700,35.7700,39.23,0.0499,0.1038,35.7691,36.0280,0.0000,bullish,0.2682,0.2682,,,1642.30,"Buy Init: RSI(39.23)<=OS(40), 15mOK, >VWAP",35.502,
20250324 10:31:00 US/Eastern,IBIT_conservative,BUY,9,50.0800,50.0800,39.40,0.0259,0.0754,50.0090,50.3065,0.0000,bullish,0.0814,0.2500,,,1191.58,"Buy Init: RSI(39.40)<=OS(40), 15mOK, >VWAP",49.830,
20250324 10:31:00 US/Eastern,BITX_conservative,BUY,10,41.3200,41.3200,39.18,0.0423,0.1233,41.2458,41.7055,0.0000,bullish,0.1213,0.2500,,,778.38,"Buy Init: RSI(39.18)<=OS(40), 15mOK, >VWAP",41.070,
20250324 10:43:00 US/Eastern,HIMS_conservative,SELL,10,36.2600,35.7700,65.87,0.0871,0.0611,35.7930,35.9725,0.0000,bullish,0.1435,0.2682,4.900,1.370,1140.98,RSIOverbought(65.87>=65),,
20250324 10:54:00 US/Eastern,HOOD_conservative,BUY,10,48.4800,48.4800,39.70,0.0805,0.1412,47.7760,48.7670,0.0000,bullish,0.1337,0.2500,,,656.18,"Buy Init: RSI(39.70)<=OS(40), 15mOK, >VWAP",48.230,
20250324 11:02:00 US/Eastern,CONL_conservative,BUY,10,18.7400,18.7400,37.97,-0.0272,-0.0047,18.6502,18.9160,0.0000,bullish,0.0825,0.2500,,,468.78,"Buy Init: RSI(37.97)<=OS(40), 15mOK, >VWAP",18.490,
20250324 11:11:00 US/Eastern,HOOD_conservative,SELL,10,48.2000,48.4800,37.27,-0.0720,-0.0662,47.8361,48.3540,0.0000,bullish,0.1368,0.2500,-2.800,-0.578,950.78,StopLossHit(48.230),48.230,
20250324 11:12:00 US/Eastern,HOOD_conservative,BUY,10,48.1700,48.1700,35.94,-0.0797,-0.0689,47.8379,48.3220,0.0000,bullish,0.1335,0.2500,,,469.08,"Buy Init: RSI(35.94)<=OS(40), 15mOK, >VWAP",47.920,
20250324 11:15:00 US/Eastern,CONL_conservative,SELL,10,19.0500,18.7400,65.77,0.0069,-0.0096,18.6653,18.8520,0.0000,bullish,0.0771,0.2500,3.100,1.654,659.58,RSIOverbought(65.77>=65),,
20250324 11:19:00 US/Eastern,IBIT_conservative,SELL,9,50.2100,50.0800,65.25,0.0186,-0.0096,50.0260,50.0295,0.0000,bullish,0.0609,0.2500,1.170,0.260,1111.47,RSIOverbought(65.25>=65),,
20250324 11:20:00 US/Eastern,BITX_conservative,SELL,10,41.5800,41.3200,66.18,0.0454,-0.0037,41.2786,41.2790,0.0000,bullish,0.0909,0.2500,2.600,0.629,1527.27,RSIOverbought(66.18>=65),,
20250324 11:31:00 US/Eastern,TQQQ_conservative,BUY,7,65.8900,65.8900,36.66,-0.0137,0.0091,65.5645,66.0355,0.0000,bullish,0.0775,0.2500,,,1066.04,"Buy Init: RSI(36.66)<=OS(40), 15mOK, >VWAP",65.640,
20250324 11:32:00 US/Eastern,CONL_conservative,BUY,10,18.8000,18.8000,38.25,-0.0163,0.0098,18.6832,18.9780,0.0000,bullish,0.0715,0.2500,,,878.04,"Buy Init: RSI(38.25)<=OS(40), 15mOK, >VWAP",18.550,
20250324 11:55:00 US/Eastern,CONL_conservative,SELL,10,19.1300,18.8000,66.05,0.0336,0.0155,18.6901,18.9655,0.0000,bullish,0.0547,0.2500,3.300,1.755,1069.34,RSIOverbought(66.05>=65),,
20250324 11:55:00 US/Eastern,HOOD_conservative,SELL,10,48.5600,48.1700,72.23,0.0684,0.0330,47.8839,48.2180,0.0000,bullish,0.0991,0.2500,3.900,0.810,1554.94,RSIOverbought(72.23>=65),,
20250324 12:05:00 US/Eastern,TQQQ_conservative,SELL,7,66.1100,65.8900,66.45,0.0429,0.0251,65.6015,65.9490,0.0000,bullish,0.0730,0.2500,1.540,0.334,2017.71,RSIOverbought(66.45>=65),,
20250324 12:18:00 US/Eastern,IBIT_conservative,BUY,9,50.1600,50.1600,37.41,0.0038,0.0246,50.0499,50.2700,0.0000,bullish,0.0450,0.2500,,,1566.27,"Buy Init: RSI(37.41)<=OS(40), 15mOK, >VWAP",49.910,
20250324 12:18:00 US/Eastern,BITX_conservative,BUY,10,41.4700,41.4700,36.68,0.0074,0.0410,41.3266,41.6640,0.0000,bullish,0.0646,0.2500,,,1151.57,"Buy Init: RSI(36.68)<=OS(40), 15mOK, >VWAP",41.220,
20250324 12:20:00 US/Eastern,CONL_conservative,BUY,10,19.0900,19.0900,39.78,0.0109,0.0420,18.7478,19.2360,0.0000,bullish,0.0530,0.2500,,,960.67,"Buy Init: RSI(39.78)<=OS(40), 15mOK, >VWAP",18.840,
20250324 12:25:00 US/Eastern,HOOD_conservative,BUY,10,48.2700,48.2700,34.44,-0.0123,0.0229,47.9293,48.6025,0.0000,bullish,0.1053,0.2500,,,477.97,"Buy Init: RSI(34.44)<=OS(40), 15mOK, >VWAP",48.020,
20250324 12:26:00 US/Eastern,TQQQ_conservative,BUY,7,65.8800,65.8800,35.78,-0.0033,0.0202,65.6425,66.0970,0.0000,bullish,0.0930,0.2500,,,16.81,"Buy Init: RSI(35.78)<=OS(40), 15mOK, >VWAP",65.630,
20250324 12:34:00 US/Eastern,BITX_conservative,SELL,10,41.2200,41.4700,40.99,-0.1163,-0.0971,41.3238,41.3425,0.0000,bullish,0.0943,0.2500,-2.500,-0.603,429.01,StopLossHit(41.220),41.220,
20250324 13:14:00 US/Eastern,HIMS_conservative,BUY,10,37.4700,37.4700,39.57,-0.0245,0.0319,36.5631,37.7180,0.0000,bullish,0.1391,0.2500,,,54.31,"Buy Init: RSI(39.57)<=OS(40), 15mOK, >VWAP",37.220,
20250324 13:20:00 US/Eastern,TQQQ_conservative,SELL,7,65.6300,65.8800,35.53,-0.0568,-0.0489,65.6682,65.7600,0.0000,bullish,0.0824,0.2500,-1.750,-0.379,513.72,StopLossHit(65.630),65.630,
20250324 13:24:00 US/Eastern,IBIT_conservative,SELL,9,50.2300,50.1600,65.11,0.0340,0.0279,50.0518,50.1525,0.0000,bullish,0.0431,0.2500,0.630,0.140,965.79,RSIOverbought(65.11>=65),,
20250324 13:26:00 US/Eastern,CONL_conservative,SELL,10,19.2200,19.0900,70.21,0.0243,0.0037,18.7641,19.0340,0.0000,bullish,0.0495,0.2500,1.300,0.681,1157.99,RSIOverbought(70.21>=65),,
20250324 13:42:00 US/Eastern,HIMS_conservative,SELL,10,37.1100,37.4700,35.18,-0.0720,-0.0501,36.6439,37.3565,0.0000,bullish,0.1396,0.2500,-3.600,-0.961,1529.09,StopLossHit(37.220),37.220,
